"文件名","英文名称","中文说明","Unicode","分类","来源模块"
"airplane_fill.svg","airplane_fill","飞行模式","U+F0113","系统UI","状态栏"
"alarm_fill_1.svg","alarm_fill_1","闹钟","U+F05EF","时间","时钟"
"arrow_clockwise.svg","arrow_clockwise","邮件","U+F00C7","系统UI / 箭头","电子邮件"
"arrow_counterclockwise.svg","arrow_counterclockwise","恢复","U+F00C8","系统UI / 箭头","图库"
"arrow_counterclockwise_clock.svg","arrow_counterclockwise_clock","历史记录","U+F03D5","系统UI / 箭头","计算器"
"arrow_down_and_rectangle_on_rectangle.svg","arrow_down_and_rectangle_on_rectangle","移出相册","U+F041D","相机与照片","图库"
"arrow_down_circle.svg","arrow_down_circle","下载","U+F089D","箭头","华为音乐"
"arrow_down_right_and_arrow_up_left.svg","arrow_down_right_and_arrow_up_left","ic_reduce","U+F00C9","系统UI / 箭头","备忘录"
"arrow_left.svg","arrow_left","返加","U+F00CA","箭头","邮件"
"arrow_left_circle.svg","arrow_left_circle","返回","U+F069F","箭头","智慧屏"
"arrow_right.svg","arrow_right","箭头","U+F0231","箭头","截录屏"
"arrow_right_circle.svg","arrow_right_circle","迁移","U+F06A0","箭头","数据克隆"
"arrow_right_folder_circle.svg","arrow_right_folder_circle","移至","U+F00BA","办公文件","邮件"
"arrow_right_folder_fill.svg","arrow_right_folder_fill","移至","U+F00BB","办公文件","邮件"
"arrow_right_up_and_square.svg","arrow_right_up_and_square","新页签打开","U+F00CB","系统UI / 箭头","浏览器"
"arrow_up_and_rectangle_on_rectangle.svg","arrow_up_and_rectangle_on_rectangle","移入相册","U+F0420","相机与照片","图库"
"arrow_up_circle.svg","arrow_up_circle","检查更新","U+F00CC","箭头","应用市场"
"arrow_up_circle_fill.svg","arrow_up_circle_fill","发送","U+F0232","箭头","通信社交"
"arrow_up_left.svg","arrow_up_left","快捷填充搜索词","U+F0233","箭头","浏览器"
"arrow_up_left_and_arrow_down_right.svg","arrow_up_left_and_arrow_down_right","放大","U+F00CD","系统UI / 箭头","输入法"
"arrow_up_to_line.svg","arrow_up_to_line","一键回顶","U+F00CF","箭头","邮件"
"arrowshape_3_triangle_path.svg","arrowshape_3_triangle_path","节能","U+F04F5","箭头","智慧助手"
"arrowshape_down_to_line_fill.svg","arrowshape_down_to_line_fill","下载量","U+F00D0","箭头","应用市场"
"arrowshape_turn_up_right_fill.svg","arrowshape_turn_up_right_fill","转发","U+F08C2","系统UI / 箭头","邮件"
"arrowshape_up.svg","arrowshape_up","翻译输入","U+F023D","箭头","输入法"
"arrowshape_up_fill.svg","arrowshape_up_fill","拍摄输入","U+F0239","箭头","输入法"
"arrowshape_up_frame_fill.svg","arrowshape_up_frame_fill","换肤","U+F023A","箭头","输入法"
"arrowshape_up_left_and_arrowshape_down_right.svg","arrowshape_up_left_and_arrowshape_down_right","最大化窗口","U+F07EE","箭头","智慧多窗"
"arrowshape_up_to_line_fill.svg","arrowshape_up_to_line_fill","置顶","U+F0010","箭头","全搜"
"arrowtriangle_down_fill.svg","arrowtriangle_down_fill","下拉列表","U+F023F","箭头","全搜"
"arrowtriangle_up_fill.svg","arrowtriangle_up_fill","收起列表","U+F0240","箭头","全搜"
"asterisk_rectangle_badge_handwritten.svg","asterisk_rectangle_badge_handwritten","手写","U+F02EE","键盘","输入法"
"backward_end_fill.svg","backward_end_fill","上一首","U+F00A6","媒体","播控"
"battery.svg","battery","检测项_电池 ","U+F011A","系统UI","DFS"
"battery_75percent.svg","battery_75percent","设备的电量 会根据设备实际电量动态变化","U+F0659","系统UI","查找设备"
"beidou_satellite_circle_fill.svg","beidou_satellite_circle_fill","畅连北斗卫星","U+F0516","通信","通信社交"
"beidou_satellite_fill.svg","beidou_satellite_fill","北斗卫星消息","U+F06AD","通信","通信社交"
"bell_fill.svg","bell_fill","播放铃声","U+F01D1","系统UI","查找设备"
"bell_slash.svg","bell_slash","静音","U+F01D3","系统UI","智慧生活"
"bell_slash_fill.svg","bell_slash_fill","响铃静音","U+F01D2","系统UI","状态栏"
"bluetooth.svg","bluetooth","检测项_蓝牙 ","U+F0254","系统UI / 连接","DFS"
"bluetooth_slash.svg","bluetooth_slash","三态开关补充","U+F0253","系统UI / 连接","状态栏"
"bolt.svg","bolt","电费","U+F0262","符号标识","钱包"
"bolt_filled_on_circle.svg","bolt_filled_on_circle","功率","U+F025F","符号标识","APP"
"bolt_shield_fill.svg","bolt_shield_fill","应急预警","U+F07F1","符号标识","通信社交"
"book_open_fill.svg","book_open_fill","书城-选中","U+F07C9","办公文件","华为阅读"
"book_pages_fill_1.svg","book_pages_fill_1","小说","U+F08BF","办公文件","浏览器"
"bookmark.svg","bookmark","标记打点","U+F000A","系统UI","录音机"
"bookmark_filled_on_bookmark.svg","bookmark_filled_on_bookmark","hitouch稍后阅读","U+F065A","系统UI","hivison/hitouch"
"briefcase.svg","briefcase","工具箱","U+F065F","办公文件","浏览器"
"brush.svg","brush","换肤","U+F000D","系统UI","输入法"
"brush_fill.svg","brush_fill","主题-选中态","U+F000C","系统UI","主题"
"calculator_1.svg","calculator_1","计算器","U+F085F","编辑","锁屏AOD"
"calendar.svg","calendar","日历","U+F03DA","时间","应用市场"
"calendar_badge_clock.svg","calendar_badge_clock","预约新游","U+F03D8","时间","应用市场"
"calendar_fill.svg","calendar_fill","新建","U+F03D9","时间","日历"
"camera.svg","camera","拍照","U+F045B","相机与照片","SDK"
"camera_fill.svg","camera_fill","拍照","U+F0438","相机与照片","图库"
"camera_filters_fill.svg","camera_filters_fill","选中滤镜","U+F082C","相机与照片","绘画"
"capture_smiles.svg","capture_smiles","笑脸抓拍","U+F05C8","相机与照片","相机"
"case_fill.svg","case_fill","保险理财","U+F0660","办公文件","通信社交"
"celiakeyboard_elevate.svg","celiakeyboard_elevate","键盘抬高","U+F0492","键盘","输入法"
"celiakeyboard_mechanical.svg","celiakeyboard_mechanical","机械键盘","U+F02F2","键盘","输入法"
"celiakeyboard_menu_icon_size.svg","celiakeyboard_menu_icon_size","编辑键盘","U+F02F3","键盘","输入法"
"character_arrow_clockwise.svg","character_arrow_clockwise","自动优化","U+F01D6","编辑","图库"
"character_viewfinder.svg","character_viewfinder","文字识别","U+F01D8","编辑","图库"
"checkmark.svg","checkmark","确认","U+F0013","系统UI","备忘录"
"checkmark_circle.svg","checkmark_circle","清单","U+F000F","系统UI","备忘录"
"checkmark_circle_fill.svg","checkmark_circle_fill","口算批改","U+F000E","系统UI","打印和扫描"
"checkmark_clipboard_fill.svg","checkmark_clipboard_fill","开发","U+F018A","办公文件","应用市场"
"checkmark_shield.svg","checkmark_shield","安全检测","U+F045E","隐私&安全","应用市场"
"checkmark_shield_fill.svg","checkmark_shield_fill","安全保护","U+F045D","隐私&安全","智慧生活"
"checkmark_square.svg","checkmark_square","多选选","U+F0012","系统UI","图库"
"checkmark_square_fill.svg","checkmark_square_fill","已选","U+F01DA","系统UI","图库"
"checkmark_square_on_square.svg","checkmark_square_on_square","全选","U+F0011","系统UI","备忘录"
"checkmark_square_on_square_fill.svg","checkmark_square_on_square_fill","取消全选","U+F01D9","系统UI","备忘录"
"chevron_down.svg","chevron_down","向下","U+F00DB","箭头","图库"
"chevron_down_2_circle.svg","chevron_down_2_circle","下一页","U+F06C0","箭头","预览"
"chevron_down_circle.svg","chevron_down_circle","下键","U+F06C1","箭头","智慧屏"
"chevron_left.svg","chevron_left","返回","U+F00DA","箭头","图库"
"chevron_left_2.svg","chevron_left_2","滑动进入","U+F06C2","箭头","华为阅读"
"chevron_left_circle.svg","chevron_left_circle","左键","U+F06C3","箭头","智慧屏"
"chevron_right.svg","chevron_right","下一步","U+F00D9","箭头","图库"
"chevron_right_circle.svg","chevron_right_circle","右键","U+F06C4","箭头","智慧屏"
"chevron_up.svg","chevron_up","向上","U+F00D8","箭头","图库"
"chevron_up_2.svg","chevron_up_2","上滑查看更多内容","U+F06C6","箭头","浏览器"
"chevron_up_2_circle.svg","chevron_up_2_circle","上一页","U+F06C5","箭头","预览"
